Codes,Names, Census_Population_All Ages,Population_Density,house_price,Unemployment_Rate,qualification4,Mean_Household_Income
E01002788,Islington 008C,1851.00 ,12.26 ,385000.00 ,5.81 ,983.00 ,64957.88 
E01002789,Islington 008D,1874.00 ,13.37 ,395000.00 ,3.87 ,1080.00 ,83387.48 
E01002790,Islington 016D,1435.00 ,7.89 ,660000.00 ,10.11 ,441.00 ,42683.25 
E01002791,Islington 016E,1543.00 ,14.34 ,545140.00 ,5.72 ,781.00 ,74197.47 
E01002792,Islington 017E,1869.00 ,10.53 ,555000.00 ,6.50 ,1005.00 ,74519.67 
E01002793,Islington 016F,1905.00 ,10.66 ,351000.00 ,9.30 ,814.00 ,48769.05 
E01002794,Islington 020B,1765.00 ,18.06 ,600000.00 ,5.57 ,976.00 ,70743.45 
E01002795,Islington 013D,1997.00 ,17.61 ,499950.00 ,6.48 ,893.00 ,55319.36 
E01002796,Islington 013E,1039.00 ,7.79 ,359500.00 ,6.07 ,519.00 ,64313.38 
E01002797,Islington 018B,1873.00 ,10.91 ,364500.00 ,9.49 ,720.00 ,46126.81 
E01002798,Islington 018C,1965.00 ,13.80 ,650000.00 ,4.00 ,1029.00 ,74882.65 
E01002799,Islington 018D,1839.00 ,8.46 ,320000.00 ,11.45 ,572.00 ,43123.89 
E01002800,Islington 018E,1049.00 ,8.14 ,1080000.00 ,15.95 ,200.00 ,35767.91 
E01002801,Islington 020C,1553.00 ,10.70 ,638000.00 ,3.98 ,893.00 ,83401.29 
E01002802,Islington 020D,1480.00 ,10.99 ,605000.00 ,5.44 ,831.00 ,78985.04 
E01002803,Islington 020E,2063.00 ,17.96 ,505000.00 ,5.48 ,1095.00 ,62552.60 
E01002804,Islington 001D,1669.00 ,11.01 ,360000.00 ,10.15 ,528.00 ,40787.48 
E01002805,Islington 003B,1569.00 ,12.81 ,335000.00 ,5.83 ,765.00 ,49644.01 
E01002806,Islington 003C,1595.00 ,11.19 ,412500.00 ,7.97 ,711.00 ,55996.03 
E01002807,Islington 001E,1734.00 ,9.21 ,267500.00 ,9.70 ,525.00 ,40891.70 
E01002808,Islington 003D,1907.00 ,13.12 ,294475.00 ,7.06 ,777.00 ,49333.44 
E01002809,Islington 003E,1640.00 ,8.89 ,390000.00 ,9.89 ,592.00 ,45813.51 
E01002810,Islington 003F,1652.00 ,8.26 ,361250.00 ,9.83 ,546.00 ,45175.49 
E01002811,Islington 001F,1545.00 ,10.21 ,367000.00 ,10.38 ,501.00 ,44361.61 
E01002812,Kensington and Chelsea 013A,1917.00 ,9.13 ,825000.00 ,5.05 ,921.00 ,73540.68 
E01002813,Kensington and Chelsea 011A,1767.00 ,11.07 ,1400000.00 ,3.37 ,977.00 ,102045.71 
E01002814,Kensington and Chelsea 015A,1956.00 ,14.63 ,689500.00 ,8.93 ,794.00 ,51664.01 
E01002815,Kensington and Chelsea 011B,1424.00 ,6.40 ,615000.00 ,5.21 ,715.00 ,59560.77 
E01002816,Kensington and Chelsea 011C,1355.00 ,5.94 ,1450000.00 ,2.71 ,754.00 ,90616.12 
E01002817,Kensington and Chelsea 011D,1594.00 ,15.73 ,1322500.00 ,3.72 ,852.00 ,93865.05 
E01002818,Kensington and Chelsea 012A,2002.00 ,18.91 ,1263500.00 ,3.21 ,1008.00 ,87057.85 
E01002819,Kensington and Chelsea 012B,1586.00 ,21.44 ,1100000.00 ,3.60 ,826.00 ,94349.04 
E01002820,Kensington and Chelsea 016A,1251.00 ,16.88 ,955000.00 ,2.67 ,700.00 ,84686.19 
E01002821,Kensington and Chelsea 014A,1425.00 ,19.11 ,1004000.00 ,1.42 ,736.00 ,98052.99 
E01002822,Kensington and Chelsea 016B,1206.00 ,11.11 ,1800500.00 ,3.15 ,644.00 ,101622.02 
E01002823,Kensington and Chelsea 014B,1369.00 ,8.04 ,1850000.00 ,7.91 ,446.00 ,54492.12 
E01002824,Kensington and Chelsea 008A,1519.00 ,15.12 ,900000.00 ,3.09 ,787.00 ,91165.25 
E01002825,Kensington and Chelsea 008B,1941.00 ,19.17 ,1100000.00 ,4.53 ,905.00 ,100483.01 
E01002826,Kensington and Chelsea 008C,1551.00 ,22.00 ,665000.00 ,4.18 ,849.00 ,83818.70 
E01002827,Kensington and Chelsea 008D,1835.00 ,25.26 ,1750000.00 ,3.35 ,1054.00 ,96311.72 
E01002828,Kensington and Chelsea 008E,1332.00 ,9.61 ,1380000.00 ,3.26 ,714.00 ,94753.03 
E01002829,Kensington and Chelsea 004A,1466.00 ,5.80 ,550000.00 ,8.23 ,598.00 ,50605.14 
E01002830,Kensington and Chelsea 004B,1773.00 ,7.44 ,625000.00 ,11.01 ,669.00 ,44826.13 
E01002831,Kensington and Chelsea 004C,1977.00 ,11.03 ,540000.00 ,9.32 ,753.00 ,48665.83 
E01002832,Kensington and Chelsea 004D,1701.00 ,7.56 ,837500.00 ,8.53 ,659.00 ,49809.54 
E01002833,Kensington and Chelsea 007A,1460.00 ,7.24 ,693750.00 ,5.56 ,816.00 ,70002.79 
E01002834,Kensington and Chelsea 013B,1430.00 ,6.22 ,740000.00 ,3.67 ,714.00 ,82073.71 
E01002835,Kensington and Chelsea 016C,1555.00 ,15.07 ,1050000.00 ,4.68 ,893.00 ,90432.66 
E01002836,Kensington and Chelsea 016D,1390.00 ,7.22 ,842500.00 ,3.07 ,778.00 ,84390.59 
E01002837,Kensington and Chelsea 016E,1359.00 ,6.43 ,1400000.00 ,2.24 ,760.00 ,91339.24 
E01002838,Kensington and Chelsea 020A,1631.00 ,6.95 ,1026000.00 ,3.48 ,613.00 ,88970.06 
E01002839,Kensington and Chelsea 013C,1568.00 ,6.31 ,780000.00 ,10.48 ,826.00 ,58303.29 
E01002840,Kensington and Chelsea 021A,1383.00 ,8.90 ,495000.00 ,11.72 ,393.00 ,43187.72 
E01002841,Kensington and Chelsea 021B,1368.00 ,11.14 ,680000.00 ,8.77 ,488.00 ,54318.12 
E01002842,Kensington and Chelsea 021C,1253.00 ,1.83 ,299950.00 ,14.57 ,237.00 ,31079.62 
E01002843,Kensington and Chelsea 021D,1232.00 ,6.73 ,472500.00 ,9.74 ,344.00 ,42372.88 
E01002844,Kensington and Chelsea 019A,1370.00 ,12.36 ,1185000.00 ,4.61 ,682.00 ,87510.76 
E01002845,Kensington and Chelsea 019B,1358.00 ,7.03 ,747500.00 ,5.55 ,629.00 ,59310.91 
E01002846,Kensington and Chelsea 017A,1315.00 ,10.56 ,460000.00 ,7.31 ,621.00 ,51555.06 
E01002847,Kensington and Chelsea 015B,1599.00 ,7.21 ,512500.00 ,5.03 ,861.00 ,59478.84 
E01002848,Kensington and Chelsea 015C,1572.00 ,8.21 ,530000.00 ,6.28 ,758.00 ,51215.38 
E01002849,Kensington and Chelsea 017B,1525.00 ,6.49 ,675000.00 ,5.47 ,780.00 ,63634.94 
E01002850,Kensington and Chelsea 013D,1451.00 ,7.46 ,850000.00 ,5.96 ,640.00 ,55587.93 
E01002851,Kensington and Chelsea 015D,1642.00 ,6.03 ,505000.00 ,11.34 ,633.00 ,44267.43 
E01002852,Kensington and Chelsea 001A,1908.00 ,51.34 ,265000.00 ,11.98 ,448.00 ,33341.43 
E01002853,Kensington and Chelsea 001B,1093.00 ,6.34 ,1030000.00 ,13.39 ,216.00 ,33794.17 
E01002854,Kensington and Chelsea 001C,1121.00 ,12.85 ,320000.00 ,15.72 ,231.00 ,33009.62 
E01002855,Kensington and Chelsea 001D,1728.00 ,10.59 ,347500.00 ,13.25 ,466.00 ,36094.07 
E01002856,Kensington and Chelsea 004E,1738.00 ,7.79 ,420000.00 ,9.58 ,752.00 ,46220.29 
E01002857,Kensington and Chelsea 001E,1349.00 ,6.00 ,166250.00 ,16.19 ,222.00 ,26675.86 
E01002858,Kensington and Chelsea 014C,1254.00 ,5.88 ,435000.00 ,9.55 ,502.00 ,41530.52 
E01002859,Kensington and Chelsea 012C,1628.00 ,12.82 ,1400000.00 ,2.39 ,867.00 ,100300.18 
E01002860,Kensington and Chelsea 012D,1502.00 ,11.12 ,2000000.00 ,3.21 ,820.00 ,120253.70 
E01002861,Kensington and Chelsea 014D,1424.00 ,8.63 ,1284400.00 ,6.22 ,731.00 ,93867.91 
E01002862,Kensington and Chelsea 014E,1543.00 ,4.39 ,250000.00 ,7.67 ,596.00 ,42869.63 
E01002863,Kensington and Chelsea 012E,1441.00 ,12.42 ,1522500.00 ,2.51 ,719.00 ,100570.03 
E01002864,Kensington and Chelsea 009A,1500.00 ,29.71 ,2175000.00 ,5.56 ,681.00 ,107024.02 
E01002865,Kensington and Chelsea 011E,1383.00 ,13.10 ,1775000.00 ,4.04 ,621.00 ,114307.79 
E01002866,Kensington and Chelsea 009B,1744.00 ,15.74 ,525000.00 ,5.85 ,806.00 ,55493.52 
E01002867,Kensington and Chelsea 009C,1981.00 ,10.59 ,657500.00 ,7.09 ,934.00 ,52189.14 
E01002868,Kensington and Chelsea 009D,1652.00 ,24.60 ,1750000.00 ,3.27 ,861.00 ,117009.16 
E01002869,Kensington and Chelsea 009E,1507.00 ,10.14 ,462000.00 ,5.59 ,794.00 ,58232.59 
E01002870,Kensington and Chelsea 005A,1386.00 ,12.64 ,380000.00 ,11.63 ,326.00 ,32780.52 
E01002871,Kensington and Chelsea 007B,1685.00 ,13.07 ,1750000.00 ,4.65 ,856.00 ,109672.80 
E01002872,Kensington and Chelsea 005B,1446.00 ,9.68 ,962500.00 ,9.86 ,424.00 ,50179.75 
E01002873,Kensington and Chelsea 007C,1331.00 ,13.00 ,580000.00 ,6.81 ,631.00 ,71761.68 
E01002874,Kensington and Chelsea 007D,1439.00 ,8.29 ,460000.00 ,5.02 ,694.00 ,60442.22 
E01002875,Kensington and Chelsea 007E,1388.00 ,15.97 ,843449.00 ,4.59 ,733.00 ,84681.67 
E01002876,Kensington and Chelsea 003A,1732.00 ,12.48 ,1200000.00 ,7.34 ,709.00 ,59446.78 
E01002877,Kensington and Chelsea 003B,1710.00 ,16.79 ,654500.00 ,10.64 ,381.00 ,36140.79 
E01002878,Kensington and Chelsea 003C,1629.00 ,12.21 ,395000.00 ,9.21 ,703.00 ,49615.11 
E01002879,Kensington and Chelsea 005C,1528.00 ,8.50 ,387500.00 ,11.31 ,418.00 ,37556.50 
E01002880,Kensington and Chelsea 005D,1540.00 ,6.46 ,190000.00 ,16.57 ,306.00 ,30955.85 
E01002881,Kensington and Chelsea 005E,1398.00 ,5.86 ,1080000.00 ,12.25 ,314.00 ,38916.13 
E01002882,Kensington and Chelsea 006A,1334.00 ,11.83 ,900000.00 ,5.87 ,654.00 ,69961.36 
E01002883,Kensington and Chelsea 006B,1836.00 ,11.57 ,740000.00 ,3.85 ,960.00 ,85445.61 
E01002884,Kensington and Chelsea 006C,1403.00 ,7.69 ,840000.00 ,4.28 ,720.00 ,64527.49 
E01002885,Kensington and Chelsea 006D,1538.00 ,5.40 ,780000.00 ,5.32 ,891.00 ,60217.13 
E01002886,Kensington and Chelsea 006E,1548.00 ,12.30 ,967500.00 ,2.60 ,812.00 ,87881.46 
E01002887,Kensington and Chelsea 010A,1401.00 ,7.69 ,885000.00 ,4.98 ,848.00 ,82389.28 
E01002888,Kensington and Chelsea 013E,2078.00 ,7.96 ,910000.00 ,5.02 ,1210.00 ,73604.68 
E01002889,Kensington and Chelsea 010B,1279.00 ,11.96 ,1225000.00 ,3.40 ,610.00 ,99418.28 
E01002890,Kensington and Chelsea 010C,1812.00 ,15.67 ,2017500.00 ,2.60 ,853.00 ,130656.66 
E01002891,Kensington and Chelsea 010D,1446.00 ,9.88 ,1127500.00 ,4.67 ,730.00 ,97123.06 
E01002892,Kensington and Chelsea 010E,1831.00 ,7.33 ,999999.00 ,3.15 ,949.00 ,90375.27 
E01002893,Kensington and Chelsea 017C,1775.00 ,9.80 ,560000.00 ,5.97 ,869.00 ,56957.64 
E01002894,Kensington and Chelsea 017D,1400.00 ,10.15 ,570000.00 ,5.52 ,811.00 ,70367.41 
E01002895,Kensington and Chelsea 020B,1395.00 ,10.90 ,1237500.00 ,2.18 ,693.00 ,106212.20 
E01002896,Kensington and Chelsea 020C,1752.00 ,11.37 ,765000.00 ,2.70 ,978.00 ,88297.01 
E01002897,Kensington and Chelsea 020D,1314.00 ,14.32 ,400000.00 ,4.95 ,657.00 ,58924.02 
E01002898,Kensington and Chelsea 017E,1609.00 ,12.83 ,985000.00 ,3.44 ,743.00 ,91043.12 
E01002899,Kensington and Chelsea 018A,1355.00 ,7.45 ,599000.00 ,4.78 ,565.00 ,58729.50 
E01002900,Kensington and Chelsea 018B,1430.00 ,12.75 ,1585000.00 ,4.07 ,726.00 ,107192.33 
E01002901,Kensington and Chelsea 018C,1250.00 ,32.28 ,950000.00 ,2.40 ,530.00 ,76620.17 
E01002902,Kensington and Chelsea 018D,1704.00 ,13.82 ,850000.00 ,5.81 ,887.00 ,80936.14 
E01002903,Kensington and Chelsea 018E,1513.00 ,11.06 ,3377000.00 ,1.90 ,837.00 ,136976.67 
E01002904,Kensington and Chelsea 002A,1173.00 ,9.94 ,0.00 ,17.38 ,194.00 ,30484.13 
E01002905,Kensington and Chelsea 002B,1568.00 ,16.85 ,325500.00 ,11.29 ,369.00 ,37170.97 
E01002906,Kensington and Chelsea 002C,1681.00 ,19.37 ,527140.00 ,11.34 ,453.00 ,42544.49 
E01002907,Kensington and Chelsea 002D,1376.00 ,5.20 ,0.00 ,16.08 ,207.00 ,36330.34 
E01002908,Kensington and Chelsea 003D,1391.00 ,9.64 ,590000.00 ,5.28 ,510.00 ,51379.19 
E01002909,Kensington and Chelsea 003E,2154.00 ,9.93 ,430000.00 ,5.89 ,955.00 ,54258.21 
E01002910,Kensington and Chelsea 019C,1388.00 ,14.23 ,905000.00 ,5.00 ,616.00 ,73569.46 
E01002911,Kensington and Chelsea 019D,1651.00 ,12.08 ,2712500.00 ,3.13 ,816.00 ,100811.27 
E01002912,Kensington and Chelsea 020E,1690.00 ,11.21 ,765000.00 ,4.43 ,863.00 ,75363.37 
E01002913,Kensington and Chelsea 021E,1894.00 ,10.91 ,732500.00 ,5.73 ,845.00 ,61720.98 
E01002914,Kensington and Chelsea 019E,1564.00 ,17.81 ,1130000.00 ,2.81 ,781.00 ,90605.53 
E01002915,Kingston upon Thames 014A,1304.00 ,29.29 ,330000.00 ,4.39 ,340.00 ,47827.13 
E01002916,Kingston upon Thames 014B,1478.00 ,43.98 ,414500.00 ,4.62 ,412.00 ,53325.21 
E01002917,Kingston upon Thames 014C,1397.00 ,27.59 ,390000.00 ,3.89 ,400.00 ,57429.70 
E01002918,Kingston upon Thames 017A,1758.00 ,43.67 ,243000.00 ,4.93 ,328.00 ,41366.08 
E01002919,Kingston upon Thames 017B,1705.00 ,76.75 ,246000.00 ,6.14 ,377.00 ,39170.49 
E01002920,Kingston upon Thames 014D,1604.00 ,46.45 ,383000.00 ,3.08 ,537.00 ,58598.00 
E01002921,Kingston upon Thames 011A,1555.00 ,17.21 ,249975.00 ,5.51 ,770.00 ,44007.01 
E01002922,Kingston upon Thames 010A,1632.00 ,31.69 ,275000.00 ,3.15 ,732.00 ,60388.67 
E01002923,Kingston upon Thames 013A,1570.00 ,11.69 ,227500.00 ,7.50 ,360.00 ,32363.34 
E01002924,Kingston upon Thames 014E,1530.00 ,32.60 ,522500.00 ,3.95 ,633.00 ,74225.40 
E01002925,Kingston upon Thames 013B,1615.00 ,23.13 ,290000.00 ,3.60 ,786.00 ,52653.78 
E01002926,Kingston upon Thames 010B,1535.00 ,28.89 ,439950.00 ,3.85 ,516.00 ,58777.30 
E01002927,Kingston upon Thames 008A,1556.00 ,22.07 ,280000.00 ,5.12 ,457.00 ,44514.10 
E01002928,Kingston upon Thames 008B,1604.00 ,25.53 ,236250.00 ,3.66 ,559.00 ,46371.94 
E01002929,Kingston upon Thames 007A,1633.00 ,60.03 ,600000.00 ,3.90 ,686.00 ,67915.26 
E01002930,Kingston upon Thames 007B,1709.00 ,26.71 ,232500.00 ,4.73 ,569.00 ,44849.58 
E01002931,Kingston upon Thames 007C,1850.00 ,30.65 ,400000.00 ,3.82 ,681.00 ,56772.57 
E01002932,Kingston upon Thames 006A,1757.00 ,23.05 ,245000.00 ,9.81 ,391.00 ,35772.66 
E01002933,Kingston upon Thames 004A,1995.00 ,16.44 ,500000.00 ,5.96 ,652.00 ,46106.30 
E01002934,Kingston upon Thames 004B,1821.00 ,20.65 ,560000.00 ,3.24 ,788.00 ,69276.12 
E01002935,Kingston upon Thames 003A,1770.00 ,18.60 ,281250.00 ,3.37 ,810.00 ,50695.20 
E01002937,Kingston upon Thames 004D,1729.00 ,15.04 ,450000.00 ,3.08 ,743.00 ,65260.50 
E01002938,Kingston upon Thames 003B,1935.00 ,23.68 ,427000.00 ,3.40 ,829.00 ,65386.77 
E01002939,Kingston upon Thames 018A,1548.00 ,26.20 ,237500.00 ,4.84 ,306.00 ,41313.61 
E01002940,Kingston upon Thames 020A,1580.00 ,22.29 ,230000.00 ,5.30 ,258.00 ,40299.44 
E01002941,Kingston upon Thames 018B,1487.00 ,61.95 ,250000.00 ,4.07 ,325.00 ,44351.28 
E01002942,Kingston upon Thames 018C,1370.00 ,21.17 ,265000.00 ,3.07 ,266.00 ,45880.46 
E01002943,Kingston upon Thames 020B,1396.00 ,31.10 ,250000.00 ,5.28 ,208.00 ,40778.20 
E01002944,Kingston upon Thames 019A,1360.00 ,30.22 ,239975.00 ,4.01 ,222.00 ,42714.19 
E01002945,Kingston upon Thames 019B,1559.00 ,24.78 ,230000.00 ,3.20 ,310.00 ,43667.18 
E01002946,Kingston upon Thames 019C,1498.00 ,46.73 ,236500.00 ,4.69 ,301.00 ,45385.52 
E01002947,Kingston upon Thames 019D,1614.00 ,29.47 ,275000.00 ,3.23 ,299.00 ,46301.59 
E01002948,Kingston upon Thames 020C,2103.00 ,526.14 ,270000.00 ,4.49 ,452.00 ,44907.09 
E01002949,Kingston upon Thames 020D,1862.00 ,29.82 ,282500.00 ,4.37 ,413.00 ,44741.97 
E01002950,Kingston upon Thames 020E,1596.00 ,98.24 ,231475.00 ,5.83 ,279.00 ,38594.59 
E01002951,Kingston upon Thames 003C,1514.00 ,22.33 ,470000.00 ,5.53 ,689.00 ,63458.27 
E01002952,Kingston upon Thames 002A,1541.00 ,142.29 ,1350000.00 ,2.70 ,654.00 ,96147.51 
E01002953,Kingston upon Thames 002B,1308.00 ,116.97 ,999999.00 ,2.91 ,531.00 ,73708.84 
E01002954,Kingston upon Thames 003D,1289.00 ,23.04 ,219000.00 ,4.62 ,570.00 ,45766.67 
E01002955,Kingston upon Thames 002C,1377.00 ,49.39 ,522000.00 ,4.56 ,433.00 ,48466.06 
E01002956,Kingston upon Thames 002D,1611.00 ,64.04 ,669250.00 ,2.06 ,471.00 ,67483.18 
E01002957,Kingston upon Thames 003E,1717.00 ,22.87 ,205000.00 ,6.97 ,395.00 ,35139.85 
E01002958,Kingston upon Thames 008C,1680.00 ,18.51 ,340000.00 ,4.16 ,610.00 ,53275.03 
E01002959,Kingston upon Thames 002E,1433.00 ,42.85 ,679000.00 ,3.94 ,652.00 ,83696.79 
E01002960,Kingston upon Thames 006B,1627.00 ,26.42 ,435000.00 ,3.03 ,625.00 ,61311.85 
E01002961,Kingston upon Thames 008D,1750.00 ,33.82 ,460000.00 ,2.92 ,719.00 ,65833.23 
E01002962,Kingston upon Thames 006C,1528.00 ,24.42 ,259975.00 ,6.92 ,376.00 ,41334.10 
E01002963,Kingston upon Thames 007D,1732.00 ,18.71 ,237500.00 ,4.81 ,659.00 ,46049.47 
E01002964,Kingston upon Thames 005A,2231.00 ,31.38 ,250000.00 ,4.34 ,703.00 ,39293.29 
E01002965,Kingston upon Thames 009A,2325.00 ,34.87 ,255000.00 ,3.93 ,902.00 ,43716.07 
E01002966,Kingston upon Thames 010C,1910.00 ,50.44 ,344975.00 ,4.53 ,761.00 ,51412.88 
E01002967,Kingston upon Thames 009B,1858.00 ,19.71 ,298750.00 ,3.18 ,990.00 ,58387.52 
E01002968,Kingston upon Thames 009C,2631.00 ,55.58 ,368950.00 ,4.16 ,1129.00 ,46261.80 
E01002969,Kingston upon Thames 005B,1748.00 ,6.90 ,125000.00 ,12.13 ,253.00 ,26097.73 
E01002970,Kingston upon Thames 006D,1576.00 ,28.62 ,265000.00 ,7.67 ,356.00 ,35341.24 
E01002971,Kingston upon Thames 005C,1709.00 ,31.80 ,320000.00 ,3.75 ,692.00 ,45042.69 
E01002972,Kingston upon Thames 005D,1809.00 ,16.73 ,249725.00 ,5.71 ,689.00 ,41452.38 
E01002973,Kingston upon Thames 006E,1372.00 ,29.83 ,257000.00 ,8.73 ,263.00 ,35405.36 
E01002974,Kingston upon Thames 005E,1893.00 ,20.94 ,402475.00 ,4.85 ,683.00 ,45624.54 
E01002975,Kingston upon Thames 012A,1381.00 ,29.60 ,375000.00 ,4.39 ,423.00 ,49832.23 
E01002976,Kingston upon Thames 015A,1654.00 ,27.77 ,275000.00 ,3.26 ,394.00 ,47451.97 
E01002977,Kingston upon Thames 012B,1673.00 ,29.90 ,317500.00 ,7.11 ,333.00 ,38791.64 
E01002978,Kingston upon Thames 015B,1761.00 ,36.38 ,415000.00 ,4.68 ,581.00 ,60343.06 
E01002979,Kingston upon Thames 015C,1549.00 ,33.82 ,367500.00 ,3.36 ,487.00 ,54680.15 
E01002980,Kingston upon Thames 012C,1413.00 ,23.08 ,378250.00 ,4.23 ,383.00 ,52604.05 
E01002981,Kingston upon Thames 012D,1544.00 ,37.71 ,367500.00 ,3.59 ,468.00 ,56736.85 
E01002982,Kingston upon Thames 015D,1438.00 ,25.81 ,415000.00 ,3.07 ,396.00 ,49385.85 
E01002983,Kingston upon Thames 015E,1626.00 ,64.93 ,367500.00 ,3.71 ,535.00 ,61250.99 
E01002984,Kingston upon Thames 012E,1426.00 ,27.14 ,286000.00 ,4.33 ,486.00 ,47009.01 
E01002985,Kingston upon Thames 007E,1662.00 ,17.21 ,306250.00 ,5.16 ,465.00 ,43517.92 
E01002986,Kingston upon Thames 008E,1273.00 ,43.88 ,343500.00 ,5.77 ,397.00 ,45806.89 
E01002987,Kingston upon Thames 011B,1702.00 ,21.25 ,221000.00 ,7.60 ,744.00 ,43827.27 
E01002988,Kingston upon Thames 011C,1906.00 ,28.52 ,353500.00 ,3.25 ,638.00 ,55598.47 
E01002989,Kingston upon Thames 011D,1830.00 ,15.14 ,338000.00 ,2.37 ,1025.00 ,65920.81 
E01002990,Kingston upon Thames 009D,1680.00 ,16.89 ,264000.00 ,4.19 ,898.00 ,51716.12 
E01002991,Kingston upon Thames 009E,1613.00 ,22.77 ,270000.00 ,3.08 ,748.00 ,57338.65 
E01002992,Kingston upon Thames 010D,1752.00 ,33.00 ,337500.00 ,2.67 ,451.00 ,46819.59 
E01002993,Kingston upon Thames 013C,1519.00 ,16.62 ,249950.00 ,2.45 ,808.00 ,51271.08 
E01002994,Kingston upon Thames 016A,1510.00 ,31.91 ,249975.00 ,4.12 ,683.00 ,61968.51 
E01002995,Kingston upon Thames 013D,1476.00 ,40.91 ,365000.00 ,2.02 ,740.00 ,71782.59 
E01002996,Kingston upon Thames 016B,1513.00 ,20.33 ,393750.00 ,2.59 ,584.00 ,59645.60 
E01002997,Kingston upon Thames 016C,1462.00 ,23.35 ,350000.00 ,3.46 ,641.00 ,63329.66 
E01002998,Kingston upon Thames 016D,1530.00 ,14.36 ,250000.00 ,4.51 ,460.00 ,43595.97 
E01002999,Kingston upon Thames 013E,1449.00 ,18.94 ,227000.00 ,6.57 ,636.00 ,42751.54 
E01003000,Kingston upon Thames 017C,1553.00 ,114.70 ,262500.00 ,5.16 ,287.00 ,40249.87 
E01003001,Kingston upon Thames 017D,1831.00 ,36.80 ,278500.00 ,3.75 ,422.00 ,44434.82 
E01003002,Kingston upon Thames 016E,1826.00 ,30.34 ,238975.00 ,5.81 ,557.00 ,43145.67 
E01003003,Kingston upon Thames 017E,1557.00 ,23.33 ,320000.00 ,4.81 ,404.00 ,42373.93 
E01003004,Kingston upon Thames 018D,1578.00 ,31.26 ,280000.00 ,4.68 ,384.00 ,44652.03 
E01003005,Kingston upon Thames 018E,1488.00 ,23.06 ,250000.00 ,3.01 ,293.00 ,43243.06 
E01003006,Kingston upon Thames 001A,1500.00 ,32.10 ,500000.00 ,3.92 ,592.00 ,61666.42 
E01003007,Kingston upon Thames 001B,1513.00 ,20.28 ,447500.00 ,3.54 ,502.00 ,61732.43 
E01003008,Kingston upon Thames 001C,1432.00 ,20.11 ,425000.00 ,2.46 ,526.00 ,68956.91 
E01003009,Kingston upon Thames 001D,1895.00 ,30.30 ,319950.00 ,4.02 ,706.00 ,55292.81 
E01003010,Kingston upon Thames 001E,1497.00 ,30.24 ,660000.00 ,3.93 ,653.00 ,75019.55 
E01003011,Kingston upon Thames 004E,1741.00 ,25.24 ,460000.00 ,4.54 ,804.00 ,62312.60 
E01003013,Lambeth 036A,1639.00 ,34.38 ,357500.00 ,2.50 ,1006.00 ,71107.65 
E01003014,Lambeth 036B,1534.00 ,18.67 ,300000.00 ,6.61 ,599.00 ,41988.42 
E01003015,Lambeth 002A,1594.00 ,9.55 ,258475.00 ,11.44 ,485.00 ,34218.08 
E01003016,Lambeth 036C,1352.00 ,16.33 ,566250.00 ,6.63 ,501.00 ,53557.35 
E01003017,Lambeth 036D,1663.00 ,13.00 ,575165.00 ,7.05 ,639.00 ,45756.89 
E01003018,Lambeth 020A,2079.00 ,15.00 ,285000.00 ,5.66 ,1181.00 ,52700.57 
E01003019,Lambeth 015A,2090.00 ,15.04 ,360000.00 ,3.44 ,1156.00 ,58738.52 
E01003020,Lambeth 016A,1775.00 ,14.35 ,338500.00 ,7.07 ,819.00 ,46090.10 
E01003021,Lambeth 021A,1903.00 ,16.08 ,290000.00 ,13.87 ,474.00 ,33567.04 
E01003022,Lambeth 021B,1746.00 ,11.60 ,250000.00 ,5.73 ,788.00 ,50119.23 
E01003023,Lambeth 021C,2380.00 ,12.76 ,250000.00 ,5.86 ,1079.00 ,42648.76 
E01003024,Lambeth 021D,1798.00 ,12.40 ,164500.00 ,10.41 ,463.00 ,32888.50 
E01003025,Lambeth 021E,2071.00 ,15.67 ,245000.00 ,9.29 ,663.00 ,38151.89 
E01003026,Lambeth 019A,1484.00 ,34.76 ,490000.00 ,2.10 ,959.00 ,76517.94 
E01003027,Lambeth 019B,1373.00 ,12.40 ,892500.00 ,3.54 ,780.00 ,93032.73 
E01003028,Lambeth 019C,1469.00 ,13.66 ,380000.00 ,4.72 ,735.00 ,64809.48 
E01003029,Lambeth 017A,1808.00 ,14.87 ,350000.00 ,4.80 ,984.00 ,56628.56 
E01003030,Lambeth 019D,1795.00 ,16.71 ,348500.00 ,2.78 ,1140.00 ,75001.46 
E01003031,Lambeth 023A,1658.00 ,9.05 ,420000.00 ,7.48 ,789.00 ,44539.19 
E01003032,Lambeth 017B,1747.00 ,17.99 ,305263.50 ,7.37 ,709.00 ,41334.75 
E01003033,Lambeth 019E,1518.00 ,14.86 ,755000.00 ,4.18 ,772.00 ,74975.31 
E01003034,Lambeth 012A,1751.00 ,11.47 ,255000.00 ,7.23 ,797.00 ,51063.24 
E01003035,Lambeth 012B,1557.00 ,11.76 ,358000.00 ,5.14 ,925.00 ,57870.38 
E01003036,Lambeth 012C,1608.00 ,11.31 ,359754.00 ,4.25 ,768.00 ,56388.15 
E01003037,Lambeth 013A,1387.00 ,11.43 ,355000.00 ,10.36 ,526.00 ,37033.20 
E01003038,Lambeth 013B,1506.00 ,13.29 ,475000.00 ,2.88 ,946.00 ,74528.84 
E01003039,Lambeth 013C,2042.00 ,18.48 ,407500.00 ,3.47 ,1275.00 ,75009.46 
